Copyright 1986-2021 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2021.1 (win64) Build 3247384 Thu Jun 10 19:36:33 MDT 2021
| Date         : Mon Oct 31 22:28:43 2022
| Host         : LAPTOP-F415E9JE running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical -hierarchical_percentages
| Design       : vc709_top
| Device       : 7vx690tffg1761-2
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------+-------------------------------------+------------+------------+----------+----------+------------+----------+----------+------------+
|                 Instance                |                Module               | Total LUTs | Logic LUTs |  LUTRAMs |   SRLs   |     FFs    |  RAMB36  |  RAMB18  | DSP Blocks |
+-----------------------------------------+-------------------------------------+------------+------------+----------+----------+------------+----------+----------+------------+
| vc709_top                               |                               (top) | 900(0.21%) | 900(0.21%) | 0(0.00%) | 0(0.00%) | 936(0.11%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|   (vc709_top)                           |                               (top) |   1(0.01%) |   1(0.01%) | 0(0.00%) | 0(0.00%) |   0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|   u_lane_original                       |                      aurora_rx_lane | 899(0.21%) | 899(0.21%) | 0(0.00%) | 0(0.00%) | 936(0.11%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|     (u_lane_original)                   |                      aurora_rx_lane |  10(0.01%) |  10(0.01%) | 0(0.00%) | 0(0.00%) |  73(0.01%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|     gearbox32to66_cmp                   |                       gearbox32to66 | 772(0.18%) | 772(0.18%) | 0(0.00%) | 0(0.00%) | 756(0.09%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       (gearbox32to66_cmp)               |                       gearbox32to66 |  17(0.01%) |  17(0.01%) | 0(0.00%) | 0(0.00%) | 214(0.02%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       u_aligner                         |                          HSn_step_n | 755(0.17%) | 755(0.17%) | 0(0.00%) | 0(0.00%) | 542(0.06%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         seekerL                         |          HSn_step_n__parameterized0 | 331(0.08%) | 331(0.08%) | 0(0.00%) | 0(0.00%) | 267(0.03%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|           seekerL                       |          HSn_step_n__parameterized1 | 181(0.04%) | 181(0.04%) | 0(0.00%) | 0(0.00%) | 137(0.02%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
