Copyright 1986-2021 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2021.1 (win64) Build 3247384 Thu Jun 10 19:36:33 MDT 2021
| Date         : Wed Sep  7 17:43:35 2022
| Host         : LAPTOP-F415E9JE running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical
| Design       : vc709_top
| Device       : 7vx690tffg1761-2
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------+------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                 Instance                |            Module            | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
+-----------------------------------------+------------------------------+------------+------------+---------+------+------+--------+--------+------------+
| vc709_top                               |                        (top) |       4125 |       4125 |       0 |    0 | 2875 |      0 |      0 |          0 |
|   (vc709_top)                           |                        (top) |          1 |          1 |       0 |    0 |    0 |      0 |      0 |          0 |
|   u_lane_original                       |               aurora_rx_lane |       4124 |       4124 |       0 |    0 | 2875 |      0 |      0 |          0 |
|     (u_lane_original)                   |               aurora_rx_lane |         20 |         20 |       0 |    0 |  209 |      0 |      0 |          0 |
|     descrambler_cmp                     |                  descrambler |         39 |         39 |       0 |    0 |  122 |      0 |      0 |          0 |
|     gearbox32to66_cmp                   |                gearbox32to66 |       3944 |       3944 |       0 |    0 | 2437 |      0 |      0 |          0 |
|       (gearbox32to66_cmp)               |                gearbox32to66 |        270 |        270 |       0 |    0 |  477 |      0 |      0 |          0 |
|       u_aligner                         |                          HSn |       3678 |       3678 |       0 |    0 | 1960 |      0 |      0 |          0 |
|         (u_aligner)                     |                          HSn |         72 |         72 |       0 |    0 |    9 |      0 |      0 |          0 |
|         seekerL                         |          HSn__parameterized0 |        518 |        518 |       0 |    0 |  936 |      0 |      0 |          0 |
|           (seekerL)                     |          HSn__parameterized0 |          1 |          1 |       0 |    0 |    9 |      0 |      0 |          0 |
|           seekerL                       |                  unit_seeker |         39 |         39 |       0 |    0 |    8 |      0 |      0 |          0 |
|           seekerR                       |          HSn__parameterized1 |        478 |        478 |       0 |    0 |  919 |      0 |      0 |          0 |
|             (seekerR)                   |          HSn__parameterized1 |          0 |          0 |       0 |    0 |    9 |      0 |      0 |          0 |
|             seekerL                     |          HSn__parameterized2 |        220 |        220 |       0 |    0 |  455 |      0 |      0 |          0 |
|               (seekerL)                 |          HSn__parameterized2 |          1 |          1 |       0 |    0 |    9 |      0 |      0 |          0 |
|               seekerL                   |          HSn__parameterized3 |        108 |        108 |       0 |    0 |  223 |      0 |      0 |          0 |
|                 (seekerL)               |          HSn__parameterized3 |          1 |          1 |       0 |    0 |    9 |      0 |      0 |          0 |
|                 seekerL                 |          HSn__parameterized4 |         56 |         56 |       0 |    0 |  107 |      0 |      0 |          0 |
|                   (seekerL)             |          HSn__parameterized4 |          4 |          4 |       0 |    0 |    9 |      0 |      0 |          0 |
|                   seekerL               |          HSn__parameterized5 |         23 |         23 |       0 |    0 |   49 |      0 |      0 |          0 |
|                     (seekerL)           |          HSn__parameterized5 |          1 |          1 |       0 |    0 |    9 |      0 |      0 |          0 |
|                     seekerL             |  unit_seeker__parameterized0 |         11 |         11 |       0 |    0 |   20 |      0 |      0 |          0 |
|                     seekerR             |  unit_seeker__parameterized1 |         11 |         11 |       0 |    0 |   20 |      0 |      0 |          0 |
|                   seekerR               |          HSn__parameterized6 |         29 |         29 |       0 |    0 |   49 |      0 |      0 |          0 |
|                     (seekerR)           |          HSn__parameterized6 |          7 |          7 |       0 |    0 |    9 |      0 |      0 |          0 |
|                     seekerL             |  unit_seeker__parameterized2 |         11 |         11 |       0 |    0 |   20 |      0 |      0 |          0 |
|                     seekerR             |  unit_seeker__parameterized3 |         11 |         11 |       0 |    0 |   20 |      0 |      0 |          0 |
|                 seekerR                 |          HSn__parameterized7 |         51 |         51 |       0 |    0 |  107 |      0 |      0 |          0 |
|                   (seekerR)             |          HSn__parameterized7 |          7 |          7 |       0 |    0 |    9 |      0 |      0 |          0 |
|                   seekerL               |          HSn__parameterized8 |         22 |         22 |       0 |    0 |   49 |      0 |      0 |          0 |
|                     (seekerL)           |          HSn__parameterized8 |          1 |          1 |       0 |    0 |    9 |      0 |      0 |          0 |
|                     seekerL             |  unit_seeker__parameterized4 |         11 |         11 |       0 |    0 |   20 |      0 |      0 |          0 |
|                     seekerR             |  unit_seeker__parameterized5 |         10 |         10 |       0 |    0 |   20 |      0 |      0 |          0 |
|                   seekerR               |          HSn__parameterized9 |         22 |         22 |       0 |    0 |   49 |      0 |      0 |          0 |
|                     (seekerR)           |          HSn__parameterized9 |          0 |          0 |       0 |    0 |    9 |      0 |      0 |          0 |
|                     seekerL             |  unit_seeker__parameterized6 |         12 |         12 |       0 |    0 |   20 |      0 |      0 |          0 |
|                     seekerR             |  unit_seeker__parameterized7 |         10 |         10 |       0 |    0 |   20 |      0 |      0 |          0 |
|               seekerR                   |         HSn__parameterized10 |        111 |        111 |       0 |    0 |  223 |      0 |      0 |          0 |
|                 (seekerR)               |         HSn__parameterized10 |          7 |          7 |       0 |    0 |    9 |      0 |      0 |          0 |
|                 seekerL                 |         HSn__parameterized11 |         54 |         54 |       0 |    0 |  107 |      0 |      0 |          0 |
|                   (seekerL)             |         HSn__parameterized11 |          4 |          4 |       0 |    0 |    9 |      0 |      0 |          0 |
|                   seekerL               |         HSn__parameterized12 |         22 |         22 |       0 |    0 |   49 |      0 |      0 |          0 |
|                     (seekerL)           |         HSn__parameterized12 |          1 |          1 |       0 |    0 |    9 |      0 |      0 |          0 |
|                     seekerL             |  unit_seeker__parameterized8 |         11 |         11 |       0 |    0 |   20 |      0 |      0 |          0 |
|                     seekerR             |  unit_seeker__parameterized9 |         10 |         10 |       0 |    0 |   20 |      0 |      0 |          0 |
|                   seekerR               |         HSn__parameterized13 |         28 |         28 |       0 |    0 |   49 |      0 |      0 |          0 |
|                     (seekerR)           |         HSn__parameterized13 |          7 |          7 |       0 |    0 |    9 |      0 |      0 |          0 |
|                     seekerL             | unit_seeker__parameterized10 |         11 |         11 |       0 |    0 |   20 |      0 |      0 |          0 |
|                     seekerR             | unit_seeker__parameterized11 |         10 |         10 |       0 |    0 |   20 |      0 |      0 |          0 |
|                 seekerR                 |         HSn__parameterized14 |         50 |         50 |       0 |    0 |  107 |      0 |      0 |          0 |
|                   (seekerR)             |         HSn__parameterized14 |          7 |          7 |       0 |    0 |    9 |      0 |      0 |          0 |
|                   seekerL               |         HSn__parameterized15 |         23 |         23 |       0 |    0 |   49 |      0 |      0 |          0 |
|                     (seekerL)           |         HSn__parameterized15 |          1 |          1 |       0 |    0 |    9 |      0 |      0 |          0 |
|                     seekerL             | unit_seeker__parameterized12 |         11 |         11 |       0 |    0 |   20 |      0 |      0 |          0 |
|                     seekerR             | unit_seeker__parameterized13 |         11 |         11 |       0 |    0 |   20 |      0 |      0 |          0 |
|                   seekerR               |         HSn__parameterized16 |         20 |         20 |       0 |    0 |   49 |      0 |      0 |          0 |
